id,title,releaseDate,genres,theme,bpm,video,Singer,Type
song-25,スケープゴート,2021/12/22,Pop rock,抗い,175,gGyKbLraiDM,曇音ルカ,オリ曲
song-26,Doomsday clock,2022/2/11,J-POP,ファンタジー,94,0IQLQivyQuc,曇音ルカ,コラボ
song-27,BEARISH BUNNY,2022/4/22,J-POP,日常,93,b696Fj6LayA,曇音ルカ,オリ曲
song-28,No.001,2022/4/29,Electronic,葛藤,69,92djRyGTgBQ,曇音ルカ,オリ曲
song-29,Do Do Do,2022/6/15,J-POP,葛藤,90,797nFDFk-wM,曇音ルカ,オリ曲
song-30,おもかげ (produced by Vaundy),2022/7/15,J-POP,愛,104,jt_idIGhGAM,曇音ルカ,Cover
song-31,寄り酔い／和ぬか,2022/8/19,J-POP,愛,118,wVFpUqZ2cL0,曇音ルカ,Cover
song-32,Dear,2022/9/3,ballad,日常,90,c-OiMex8OCo,曇音ルカ,オリ曲
song-33,ボクとキミのなおしかた ,2022/11/12,ballad,愛,81,P2qE66pCbOE,曇音ルカ,オリ曲
song-34,funny day,2022/12/3,J-POP,日常,100,el5eo4mgXo8,曇音ルカ,コラボ
song-35,スイミー（ピッチリズム補正なし）,2023/1/28,J-POP,自己探求,126,LNqCi2_H2xs,曇音ルカ,オリ曲
song-36,閻魔様,2023/3/26,J-POP,抗い,68,FbbnY5qAKtA,曇音ルカ,オリ曲
song-37,simple（ピッチリズム補正なし）,2023/5/7,J-POP,日常,91,ff2bMYPhQCM,曇音ルカ,オリ曲
song-38,蜜月アン・ドゥ・トロワ/DATEKIN,2023/5/17,jazz,ファンタジー,64,CrBTu3zONT8,曇音ルカ,Cover
song-39,スイミー,2023/5/31,J-POP,自己探求,127,XpEgkTipp6g,曇音ルカ,オリ曲
song-40,虚無の唄,2023/7/21,虚無,虚無,58,ODPhJR3UdtU,曇音ルカ,オリ曲
song-41,地球儀/米津玄師,2023/8/6,アニソン,自己探求,78,mSjWru6XZ9Q,曇音ルカ,Cover
song-42,error No.500,2023/8/13,J-POP,葛藤,77,yL_-M0-Jdl8,曇音ルカ,コラボ
song-43,貴方の恋人になりたい/チョーキューメイ,2023/8/20,J-POP,愛,124,rLdcTIJOOhA,曇音ルカ,Cover
song-44,阿吽のビーツ,2023/9/3,J-POP,愛,103,pcVYS2Hu8_M,曇音ルカ,オリ曲
song-45,エプシロン,2023/9/20,ballad,自己探求,88,smiwDWjrrgw,曇音ルカ,オリ曲
song-46,underground,2023/9/30,Pop rock,抗い,93,wmpgs0POka0,曇音ルカ,オリ曲
song-47,くゆる森,2023/10/31,World music,ファンタジー,85,7T8I-kHU7T8,曇音ルカ,オリ曲
song-48,TOYBOX,2023/11/12,J-POP,日常,138,d3_gS3iqdg4,曇音ルカ,オリ曲
song-49,ONE(demo ver),2023/11/15,J-POP,希望,98,zLJVldRdXi0,曇音ルカ,オリ曲
song-50,ONE,2023/11/30,J-POP,希望,97,KFhPu4x3AHw,曇音ルカ,オリ曲
song-51,泡沫のワルツ,2023/12/18,ballad,愛,158,KhMTFuo9mh8,曇音ルカ,オリ曲
song-52,mission,2023/12/30,J-POP,MOGURA,103,2wSOGPx_qvk,曇音ルカ,オリ曲
song-53,ninelie／Aimer with chelly（EGOIST),2024/3/8,アニソン,葛藤,85,CcluBbFqCtA,曇音ルカ,Cover
song-54,ウタウサバク,2024/3/23,J-POP,自己探求,112,CfSOMeod16w,曇音ルカ,オリ曲
song-55,HAPPY WEDNESDAY,2024/6/1,J-POP,日常,82,Mq1XXyM5R5k,曇音ルカ,オリ曲
song-56,キミギミ侵略。,2024/7/5,J-POP,愛,160,wPXwUb9ohr8,曇音ルカ,コラボ
song-57,Let me battle/9Lana,2024/7/25,アニソン,ファンタジー,133,gSE_IfHWYTo,曇音ルカ,Cover
song-58,Break myself,2024/7/27,Pop rock,抗い,118,9cuJFXP2oQw,曇音ルカ,オリ曲
song-59,トモダチのウタ,2024/7/28,J-POP,日常,88,wLCFcVsKh8A,曇音ルカ,オリ曲
song-60,ヨミボロシ,2024/10/26,ballad,葛藤,159,BacRVJQuwbw,曇音ルカ,オリ曲
song-61,snow magic,2024/12/26,J-POP,愛,88, -uFKIBppIKc,曇音ルカ,オリ曲
song-62,クモリオト,2025/1/10,ballad,希望,71,l4_Cr1Fs7sU,曇音ルカ,オリ曲
song-63,Hamburgers,2025/2/11,J-POP,友,97,IaU9m6HPPhw,曇音ルカ,オリ曲
song-64,それでも、,2025/2/26,ballad,愛,73,aBdheUAV0gs,曇音ルカ,オリ曲
song-65,star train ,2025/6/27,ballad,愛,74,c64KiQpeXyY,曇音ルカ,オリ曲
song-66,FRIENDS,2025/7/4,Ambient pop,友,85,tbTLdtqBL3k,曇音ルカ,コラボ
song-67,I,2025/7/11,ballad,自己探求,90,zBNt-Yow20Y,曇音ルカ,オリ曲
song-68, Legg.,2025/7/18,J-POP,自己探求,156, -cJwBxPM23Q,曇音ルカ,オリ曲
song-69,Wake up,2025/7/25,Pop rock,自己探求,115,t8XPZDvIqHg,曇音ルカ,オリ曲
song-70,Lost child,2025/8/8,World music,ファンタジー,150,YTLXr9dnR80,曇音ルカ,オリ曲
song-71,飽和する,2025/8/28,Chill pop,愛,50,FD7BKhqRKiM,曇音ルカ,オリ曲
song-72,♪share,2025/8/29,J-POP,友,145,wN-UTQAWnvI,曇音ルカ,オリ曲
song-73,黒い翼--スイミーアンサーソング--,2023/6/20,ballad,自己探求,93,S8UKXNSqrXk,曇音ルカ,オリ曲
song-74,shadow actor,2023/6/24,Electronic,抗い,83,Cp-KpbkAbMw,曇音ルカ,オリ曲
song-75,アマノジャク,2023/7/2,J-POP,日常,90,Shw6Y61SRqQ,曇音ルカ,オリ曲
song-76,Stranger,2025/4/1,Hip Hop,抗い,60,PqAPtVEOBPM,04:00A.M.,オリ曲
song-77,雪宿り,2024/10/27,ballad,愛,88,22tHWTzf1FU,neji,feat.
song-78,ラヴェニール ,2024/7/26,ballad,愛,71,lSvHvUE9kk8,曇音ルカ,feat.
song-79,迷宮の鏡 ,2023/8/10,J-POP,葛藤,85,XWzcSPIC8uU,曇音ルカ,オリ曲
song-80,aeternitas,2023/3/23,World music,ファンタジー,70,_qYnHL3Id_A,曇音ルカ,オリ曲
song-81,再生のエデン,2022/8/6,J-POP,ファンタジー,88,6WbtD-RhmJE,曇音ルカ,コラボ
song-82,Equal,2022/7/17,J-POP,ファンタジー,157,BcxJFLeCevM,曇音ルカ,オリ曲
song-83,DestructiveCode ,2023/1/24,J-POP,ファンタジー,144,C6Fuh8p12FQ,曇音ルカ,オリ曲
song-84,優しさのアクアトーン,2023/4/29,J-POP,愛,148,ISkoEE_a0Tk,曇音ルカ,feat.
song-85,ロキ,2023/2/10,J-POP,ダンス,150,snNHAIX7nqE,曇音ルカ,Cover
song-86,アンチヒーロー,2025/3/21,Pop rock,葛藤,142,6dOJ1OyvonQ,曇音ルカ,コラボ
song-87,Flare/冠咲オウカ,2024/9/7,Pop rock,抗い,110,j8EXW-30twQ,(提供楽曲),オリ曲
song-88,BLUE WONDER LAND/Nanoha。,2023/12/24,J-POP,自己探求,78,HcQ22NOkliM,(提供楽曲),オリ曲
song-89, 天花桜宴/稲守サクヤ,2024/10/23,J-POP,希望,153,6zcNUJZyrgQ,(提供楽曲),オリ曲
song-90,Blue greige/神月都,2025/2/6,ballad,愛,56,oMCe5UQx1YU,(提供楽曲),オリ曲
song-91,CRIE∞!/クリエ,2024/8/24,J-POP,希望,128,MOAXgqeGVUE,(提供楽曲),オリ曲
song-92,此の広い世界/Firoちゃん,2024/1/31,World music,ファンタジー,80,EGK3pryLqT8,(提供楽曲),オリ曲
song-93,Domination,2025/10/31,Ambient pop,恐怖,70,N7K2S3gOPdM,曇音ルカ,オリ曲
song-94,i.e.,2025/10/31,ballad,自己探求,90,3Ey7jm2AJ2U,曇音ルカ,オリ曲
song-95,Simple,2025/12/29,J-POP,日常,97,fSFuhxZo5j4,曇音ルカ,オリ曲
song-96,Moon Resonance,2025/12/30,J-POP,ファンタジー,95,Tc1DVNwDQhM,曇音ルカ,コラボ
song-97,The Stranger under Star/Plague_Xeno,2024/12/15,J-POP,抗い,150,y9cuemInvcM,(提供楽曲),オリ曲
song-98,Tonight,2026/2/12,Hip Hop,抗い,85,F5NBzn2Wc8U,04:00A.M.,オリ曲
song-99,Anonymous(裸音源1コーラス),2026/2/14,J-POP,抗い,115,#NAME?,曇音ルカ,オリ曲
song-100,New Days,2026/2/28,J-POP,日常,155,hGkpFbmfsLA,曇音ルカ,オリ曲
song-101,君がための常夜灯,2026/3/16,J-POP,日常,85,CuNuTCWYtoE,(提供楽曲),オリ曲
song-102,Anonymous,2026/4/19,J-POP,抗い,115,0Cx99a5Tzck,曇音ルカ,オリ曲
song-103,Elmares Luminara,2026/4/20,World music,ファンタジー,51,Lbk5bwPyKwk,UNiel,オリ曲
song-104,Parasidea Eden,2026/5/9,World music,ファンタジー,62,DAwHCmp4Vss,UNiel,オリ曲
song-105,走馬灯はオレンジだった,2026/6/24,J-POP,日常,72,vMKpw1T91Sk,曇音ルカ,オリ曲
song-106,陽炎のように,2026/6/30,Pop rock,葛藤,92,KTkPnrKH7xo,曇音ルカ,コラボ
song-107,Beyond the Haze,2026/7/1,J-POP,希望,81,k1vNMekmzHk,曇音ルカ,コラボ
